INFO: 2023-09-14 10:14:07,402 | FILE: main.py:107 | MESSAGE: working...
INFO: 2023-09-14 10:14:08,021 | FILE: main.py:73 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:14:08,021 | FILE: main.py:87 | MESSAGE: Order created with 0 on BTC at 2023-09-14 10:14:08.021558
INFO: 2023-09-14 10:14:08,472 | FILE: main.py:73 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:14:08,472 | FILE: main.py:87 | MESSAGE: Order created with 0 on ETH at 2023-09-14 10:14:08.472275
INFO: 2023-09-14 10:14:08,933 | FILE: main.py:73 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:14:08,933 | FILE: main.py:87 | MESSAGE: Order created with 3 on DOT at 2023-09-14 10:14:08.933052
INFO: 2023-09-14 10:14:09,954 | FILE: main.py:73 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:14:09,954 | FILE: main.py:87 | MESSAGE: Order created with 0 on SOL at 2023-09-14 10:14:09.954991
INFO: 2023-09-14 10:14:10,979 | FILE: main.py:73 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:14:10,979 | FILE: main.py:87 | MESSAGE: Order created with 125 on XLM at 2023-09-14 10:14:10.979556
INFO: 2023-09-14 10:14:10,979 | FILE: main.py:91 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 10:14:13,759 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials a15-20020a170902eccf00b001c0c79b386esm478970plh.95 - gsmtp')
INFO: 2023-09-14 10:58:27,676 | FILE: main.py:101 | MESSAGE: working...
INFO: 2023-09-14 10:58:28,738 | FILE: main.py:67 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:58:28,738 | FILE: main.py:81 | MESSAGE: Order created with 0 on BTC at 2023-09-14 10:58:28.738045
INFO: 2023-09-14 10:58:29,459 | FILE: main.py:67 | MESSAGE: PLACING TEST ORDER
